text,labels
"The submission of the petitioner that the PG Tests were mandatory is also contrary to the minutes of the meetings dated 10.09.1993, 13.09.1993 and 28.09.1993, in which the petitioner had agreed that in case of non-conductance of PG Tests it would accept a rebate.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_DATE', 'B_DATE', 'I_DATE', 'B_DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"If the Appellant's product is classified under the schedule Entry C-14 then indirectly the sales tax on battery shall be @ 4%, whereas if a person purchases a battery separately he has to pay the sales tax @ 12.5%.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
The learned counsel for the State also relied on the definition of the rules under the Standard Weighment and Measurements Package Commodities Rules to contend that complete address should include State.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_STATUTE', 'I_STATUTE', 'I_STATUTE', 'I_STATUTE', 'I_STATUTE', 'I_STATUTE', 'I_STATUTE', 'I_STATUTE', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
He was discharged from the said hospital on 11.11.2008 at 6:20 PM.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_DATE', 'I_DATE', 'O', 'O']"
"As far as the issues framed are concerned, it was contended that though in terms of Section 5 of the Act, the 1st respondent is to dispose of Ext. P1 in accordance with the procedure as applicable while trying a suit under the Civil Procedure Code, 1908, issues were not framed with notice to the parties.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_PROVISION', 'I_PROVISION', 'I_PROVISION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_STATUTE', 'I_STATUTE', 'I_STATUTE', 'I_STATUTE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
The interpretation placed on Section 41(1) of the Act by the Tribunal appears to me to be so hypertechnical that it rises to the point of being patently erroneous.,"['O', 'O', 'O', 'O', 'B_PROVISION', 'I_PROVISION', 'I_PROVISION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"As per statement of (PW3) Praveen, the issue arose between accused appellant No.1 - Rajkumar Kushwaha and deceased Pankaj Panchal.","['O', 'O', 'O', 'O', 'O', 'B_WITNESS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_PETITIONER', 'I_PETITIONER', 'I_PETITIONER', 'O', 'B_OTHER_PERSON', 'I_OTHER_PERSON']"
The Court summons was issued on 01.08.2013 and the next date was fixe d on 07.10.2013 on which date the charge sheet witnesses 1 to 8 were present and were discharged for want of time.,"['O', 'O', 'O', 'O', 'O', 'O', 'B_DATE', 'I_DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_DATE', 'I_DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
The High Court also noticed certain infirm- ities in the evidence of PW 1 Mohmad Shafi in paragraphs 32 to 34 of its judgment.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_WITNESS', 'I_WITNESS', 'I_WITNESS', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The learned Commissioner having held in favour of the applicants/appellants awarded compensation, but the High Court having held in favour of the applicants in all respects had, however, excluded the liability of the Insurance Company on the ground that the contention of deemed transfer of the insurance policy in favour of Jeeva Rathna Setty by virtue of Section 157 of M.V. Act was not actually urged before the Commissioner.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_OTHER_PERSON', 'I_OTHER_PERSON', 'I_OTHER_PERSON', 'I_OTHER_PERSON', 'O', 'O', 'B_PROVISION', 'I_PROVISION', 'I_PROVISION', 'B_STATUTE', 'I_STATUTE', 'I_STATUTE', 'O', 'O', 'O', 'O', 'O', 'O']"
India is one of the signatories to the Convention and it played a commendable role suggesting suitable amendments in the preparatory conferences.,"['B_GPE', 'I_GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
The accused informed that he will get back in 5 minutes.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"We shall refer to the terms of Article 311 and discuss the rights of the civil servant holding office under the Union of India, a little later.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_PROVISION', 'I_PROVISION', 'I_PROVISION', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"As the above discussion of the rival contentions show the alleged error in the present case is far from self-evident and if it can be established, it has to be established by lengthy and complicated arguments.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Now it is to be further determined whether after divorce on 2.1.1987, Hussan Bano-applicant No. 1 and Mohd. Amran applicant No. 2, are entitled to recover the maintenance amount granted to them under Section 125, Cr.P.C. 

11.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_DATE', 'B_PETITIONER', 'I_PETITIONER', 'O', 'O', 'O', 'B_RESPONDENT', 'I_RESPONDENT', 'I_RESPONDENT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_PROVISION', 'I_PROVISION', 'B_STATUTE', 'I_STATUTE']"
"According to PW4, the autorickshaw was overtaking MRL bus at the time of accident and for that purpose it was brought to the right side of the road.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Such contingency however, has so far not arisen, on account of the petitioner himself having obtained even before his acquittal in the Moradabad case, an interim stay order dated 28-10-1991 from this court, prohibiting his transfer from the District Jail, Moradabad to any jail outside Moradabad.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_GPE', 'I_GPE', 'O', 'O', 'O', 'O', 'O', 'B_DATE', 'I_DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_ORG', 'I_ORG', 'I_ORG', 'I_ORG', 'O', 'O', 'O', 'B_GPE']"
"We do not intend to enter into this controversy, fortunately as it is not contended that the Code of Civil Procedure does not apply, but we cannot refrain from expressing that even if it were so, the Delhi High Court is not absolved of its obligation to write a judgment as understood in common parlance.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_STATUTE', 'I_STATUTE', 'I_STATUTE', 'I_STATUTE', 'I_STATUTE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_COURT', 'I_COURT', 'I_COURT', 'I_COURT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Similarly, Section 124A of the Railways Act 1989, Sections 140 and 163A of the Motor Vehicles Act, 1988, the Public Liability Insurance Act, 1991 etc.","['O', 'B_PROVISION', 'I_PROVISION', 'I_PROVISION', 'O', 'B_STATUTE', 'I_STATUTE', 'I_STATUTE', 'B_PROVISION', 'I_PROVISION', 'I_PROVISION', 'I_PROVISION', 'I_PROVISION', 'O', 'B_STATUTE', 'I_STATUTE', 'I_STATUTE', 'I_STATUTE', 'O', 'B_STATUTE', 'I_STATUTE', 'I_STATUTE', 'I_STATUTE', 'I_STATUTE', 'I_STATUTE']"
"As per the contents of Ex. PW5/B, PW6 Surender Kumar sustained injury on Right Parietal area and aright Supra Occipital area of his head and there were ""deep penetrating cut on right parietal area and on right supra occipital area Sessions Case No. 6/14 Page no. 27 of 32 of skull""; and seven stitches were given to him besides other treatment.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_WITNESS', 'I_WITNESS', 'I_WITNESS', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"In the absence of all these there is no option but to hold that there was no valid remand to custody of the petitioner in ST No. 748-A/84 from 3-12-1990 the date of the production till his acquittal in the said trial on 12-2-1992. 

67.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_CASE_NUMBER', 'I_CASE_NUMBER', 'I_CASE_NUMBER', 'I_CASE_NUMBER', 'B_DATE', 'I_DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_DATE', 'O']"
" 
 2. Petitioner joined service of the Company as Sales Assistant on October 23, 1967.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_DATE', 'I_DATE', 'I_DATE']"
"On the basis of this report, a case Under Sections 147, 148, 149, 435, 323 and 447 IPC was registered.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_PROVISION', 'I_PROVISION', 'I_PROVISION', 'I_PROVISION', 'I_PROVISION', 'I_PROVISION', 'I_PROVISION', 'I_PROVISION', 'B_STATUTE', 'I_STATUTE', 'O']"
"Defendant has also acknowledged the receipt of Rs.25,000/- by his father and agreed to execute the sale deed and in pursuance of it, plaintiffs have paid Rs.1,00,000/- on 27/11/2003 through cheque bearing No.576357 and cheque bearing No.120052 dated: 16/12/2004 drawn on ICICI Bank, Dispensary Road Branch, Bangalore.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_DATE', 'I_DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_DATE', 'I_DATE', 'O', 'B_ORG', 'I_ORG', 'O', 'O', 'O', 'B_GPE']"
"very recently, by this Court in the case of Serajuddin and Co. 

v. Michael Golodetz, .","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'O']"
I must bow with respect to the observations of Chinnappa Reddy J. in regard to the attitude of courts.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_JUDGE', 'I_JUDGE', 'I_JUDGE', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
The numbers of those notes were verified with the number previously noted in the panchnama and found to tally.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"However, the fact that the report was lodged belatedly is a relevant fact of which the court must take notice.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Despite rigorous treatment taken from Dr. Jayant Patel, E.N.T. Surgeon, there was not much improvement in the hearing impairment.","['O', 'O', 'O', 'O', 'O', 'O', 'B_OTHER_PERSON', 'I_OTHER_PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"But that apart, it needs to be highlighted that in para 45 of its decision, while expressing the desirability to constitute a single judicial review forum for members of the Armed Forces, the Supreme Court hedged the words: ‗which must truly be a judicial review forum'. 

 57.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_COURT', 'I_COURT', 'I_COURT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"Defendant No. 1 filed the plaint in Title Suit 65 of 1950 on the 28th of July 1950 in the Court of the Subordinate Judge of Birbhurn at Suri impleading 'Dina Nath Tri-loki Nath a Hindu joint family firm carrying on business at Marufganj in Patna City, District patna Chouki patna' as would appear from Ext. 1 the plaint of the suit.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_CASE_NUMBER', 'I_CASE_NUMBER', 'I_CASE_NUMBER', 'I_CASE_NUMBER', 'I_CASE_NUMBER', 'I_CASE_NUMBER', 'O', 'B_DATE', 'I_DATE', 'I_DATE', 'I_DATE', 'I_DATE', 'O', 'O', 'O', 'O', 'B_COURT', 'I_COURT', 'I_COURT', 'I_COURT', 'I_COURT', 'I_COURT', 'I_COURT', 'B_ORG', 'I_ORG', 'I_ORG', 'I_ORG', 'I_ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_GPE', 'I_GPE', 'B_GPE', 'I_GPE', 'O', 'B_GPE', 'I_GPE', 'B_GPE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
" The judgment and order dated 27.08.2011 passed by the Fast Track Court-I, Koppal, in S.C. No.6 of 2011 is the subject matter of these two appeals. 

 2.","['O', 'O', 'O', 'O', 'O', 'O', 'B_DATE', 'I_DATE', 'O', 'O', 'B_COURT', 'I_COURT', 'I_COURT', 'I_COURT', 'O', 'B_CASE_NUMBER', 'I_CASE_NUMBER', 'I_CASE_NUMBER', 'I_CASE_NUMBER', 'I_CASE_NUMBER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
The appellants Dalip Singh and Battan Singh are said to have assaulted the two dead men Rattan and Bawa about twenty years before the occurrence.,"['O', 'O', 'B_PETITIONER', 'I_PETITIONER', 'I_PETITIONER', 'B_PETITIONER', 'I_PETITIONER', 'I_PETITIONER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_OTHER_PERSON', 'I_OTHER_PERSON', 'B_OTHER_PERSON', 'I_OTHER_PERSON', 'O', 'O', 'O', 'O', 'O']"
The decision of the Supreme Court in the case of E.D. Sassoon & Co. Ltd. v. Commissioner of Income-tax need not detain us and this decision of the Supreme Court came to be considered by the Andhra Pradesh High Court in its judgment.,"['O', 'O', 'O', 'O', 'B_COURT', 'I_COURT', 'I_COURT', 'O', 'O', 'O', 'B_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_COURT', 'I_COURT', 'I_COURT', 'O', 'O', 'O', 'O', 'O', 'B_COURT', 'I_COURT', 'I_COURT', 'I_COURT', 'I_COURT', 'O', 'O']"
Failure to prove such facts would give the defendant a right to judgment in his favour.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The learned counsel for the assessee Shri Dastur reiterated that the two cement units and one Ispat Unit were part of the same business and, therefore, interest paid on borrowings was to be deductible under s. 36(1)(iii) of the Act.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_OTHER_PERSON', 'I_OTHER_PERSON', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_PROVISION', 'I_PROVISION', 'I_PROVISION', 'O', 'O']"
In Kaushalya Devi v. Bachittar Singh (AIR 1960 SC 1168) the Supreme Court set aside the order of the High Court interfering with the order of the Deputy Custodian General.,"['O', 'B_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'B_COURT', 'I_COURT', 'I_COURT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
The second part is the general rule and the first part is an exception.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
The Commissioner (Appeals)'s order is upheld on this point.,"['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"LMJ on 4th December, 2014 raised some issues and chose not to raise other issues.","['B_ORG', 'I_ORG', 'B_DATE', 'I_DATE', 'I_DATE', 'I_DATE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"The rulings AIR 1950 Madras 769 (Venkataseshamma v. Ranganaryakamma), AIR 1967 A.P. 147 can be pointed out in support of this legal position.","['O', 'O', 'B_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'I_PRECEDENT', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"He contended that since TISCO was not. a party before the Rao Committee, its report was not binding for the purposes of considering TISCO's lease.","['O', 'O', 'O', 'O', 'B_ORG', 'I_ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B_ORG', 'O']"
"According to Art. 137 of the Limitation Act, limitation runs from the date on which the right accrues.","['O', 'O', 'B_PROVISION', 'I_PROVISION', 'I_PROVISION', 'O', 'B_STATUTE', 'I_STATUTE', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
"a future date, the document is said to effect an actual demise and it operates as a lease- There are no such terms in the document.","['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']"
